Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  74",-1.408863896832e-01,1.232777515548e-01,-5.594961290625e-07,-1.381089374448e-01,1.274529199392e-01,-5.191607938043e-06,2.777452238356e-03,4.175168384400e-03,-4.632111808980e-06
"                  75",-1.436049093737e-01,1.250312780598e-01,-5.684642199120e-07,-1.408337624120e-01,1.292107986816e-01,-4.457266279772e-06,2.771146961691e-03,4.179520621849e-03,-3.888802059860e-06
"                  76",-1.457947629140e-01,1.264945440227e-01,-5.760142855809e-07,-1.430252976286e-01,1.306862086459e-01,-4.934177100719e-06,2.769465285386e-03,4.191664623203e-03,-4.358162815138e-06
"                  77",-1.479091217553e-01,1.280148585388e-01,-5.799413041816e-07,-1.451379175531e-01,1.322251230541e-01,-5.781917130342e-06,2.771204202204e-03,4.210264515233e-03,-5.201975826160e-06
"                  78",-1.504699966388e-01,1.299256928666e-01,-5.848067225058e-07,-1.476959220446e-01,1.341592672182e-01,-6.186456792380e-06,2.774074594190e-03,4.233574351639e-03,-5.601650069874e-06
"                  79",-1.535088515924e-01,1.321883966780e-01,-5.904721010662e-07,-1.507324279592e-01,1.364441010068e-01,-6.168856293750e-06,2.776423633172e-03,4.255704328858e-03,-5.578384192684e-06
"                  80",-1.568482639916e-01,1.346519643925e-01,-5.951591396929e-07,-1.540726721665e-01,1.389220365504e-01,-6.246851832597e-06,2.775591825134e-03,4.270072157946e-03,-5.651692692904e-06
"                  81",-1.601026560256e-01,1.370395040228e-01,-5.984009006929e-07,-1.573310062391e-01,1.413143488186e-01,-6.089954619775e-06,2.771649786543e-03,4.274844795798e-03,-5.491553719082e-06
"                  82",-1.629376980854e-01,1.390999823891e-01,-5.995239998575e-07,-1.601688024370e-01,1.433743464935e-01,-5.688503216174e-06,2.768895648353e-03,4.274364104352e-03,-5.088979216317e-06
"                  83",-1.653354005620e-01,1.408204209759e-01,-5.994458455327e-07,-1.625660622598e-01,1.450944678175e-01,-5.362351072027e-06,2.769338302205e-03,4.274046841574e-03,-4.762905226494e-06
"                  84",-1.674212981451e-01,1.422967339995e-01,-5.979825349675e-07,-1.646483042438e-01,1.465714575342e-01,-5.228951028648e-06,2.772993901276e-03,4.274723534706e-03,-4.630968493681e-06
"                  85",-1.694842710706e-01,1.437502311676e-01,-5.957508823125e-07,-1.667045762792e-01,1.480284016117e-01,-4.801828764415e-06,2.779694791476e-03,4.278170444067e-03,-4.206077882102e-06
"                  86",-1.717307008580e-01,1.453469126269e-01,-5.934773798488e-07,-1.689402267754e-01,1.496321941774e-01,-4.054042980577e-06,2.790474082646e-03,4.285281550477e-03,-3.460565600729e-06
"                  87",-1.741504498917e-01,1.470892421920e-01,-5.919503276202e-07,-1.713432606311e-01,1.513857603711e-01,-2.816033338816e-06,2.807189260631e-03,4.296518179139e-03,-2.224083011196e-06
