Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  78",-4.702254678319e-01,2.378439932657e+01,-2.231757344480e-06,-2.653315224833e-01,2.380782301986e+01,-5.315746472841e-06,2.048939453486e-01,2.342369328773e-02,-3.083989128361e-06
"                  79",-4.650714551645e-01,2.382183147503e+01,-2.123715630961e-06,-2.613264066743e-01,2.384510369859e+01,-2.647398264627e-06,2.037450484901e-01,2.327222355424e-02,-5.236826336654e-07
"                  80",-4.596412305151e-01,2.385183789793e+01,-2.042804984271e-06,-2.571348945020e-01,2.387499046600e+01,-1.497235938795e-06,2.025063360131e-01,2.315256807386e-02,5.455690454757e-07
"                  81",-4.553346168726e-01,2.387945980617e+01,-2.035932946472e-06,-2.541296921315e-01,2.390251426104e+01,-2.840035742625e-06,2.012049247411e-01,2.305445486195e-02,-8.041027961528e-07
"                  82",-4.520914683214e-01,2.390144594386e+01,-2.116597087251e-06,-2.522430223056e-01,2.392443632512e+01,-6.045927875407e-06,1.998484460158e-01,2.299038126476e-02,-3.929330788155e-06
"                  83",-4.486708308938e-01,2.391444090590e+01,-2.232507036291e-06,-2.501999967766e-01,2.393738971620e+01,-6.007990067404e-06,1.984708341173e-01,2.294881030034e-02,-3.775483031113e-06
"                  84",-4.440105016268e-01,2.391400632698e+01,-2.367849592402e-06,-2.468708416526e-01,2.393691661346e+01,-8.221096206036e-06,1.971396599742e-01,2.291028648255e-02,-5.853246613634e-06
"                  85",-4.380067303783e-01,2.390806109839e+01,-2.540405196931e-06,-2.421333039772e-01,2.393093556064e+01,-6.874131058779e-06,1.958734264011e-01,2.287446225115e-02,-4.333725861848e-06
"                  86",-4.312280948434e-01,2.391840085983e+01,-2.796324749303e-06,-2.364873795508e-01,2.394123715556e+01,-6.958217885438e-06,1.947407152926e-01,2.283629573022e-02,-4.161893136135e-06
"                  87",-4.236558994140e-01,2.395370113909e+01,-3.081833731357e-06,-2.298861377175e-01,2.397649569028e+01,-5.107923923756e-06,1.937697616966e-01,2.279455119177e-02,-2.026090192400e-06
"                  88",-4.158335081797e-01,2.400231444090e+01,-3.330345869534e-06,-2.229436641729e-01,2.402508313602e+01,-7.050074190042e-06,1.928898440068e-01,2.276869511926e-02,-3.719728320508e-06
"                  89",-4.087632447315e-01,2.404196278867e+01,-3.450622159646e-06,-2.166412611411e-01,2.406471149839e+01,-9.165722195871e-06,1.921219835904e-01,2.274870972022e-02,-5.715100036225e-06
"                  90",-4.028923205143e-01,2.406474584843e+01,-3.470359928779e-06,-2.114699926688e-01,2.408748595018e+01,-1.324808017793e-05,1.914223278454e-01,2.274010175353e-02,-9.777720249155e-06
"                  91",-3.975304968982e-01,2.408568576534e+01,-3.406225171451e-06,-2.067579364460e-01,2.410842770490e+01,-1.795737723832e-05,1.907725604522e-01,2.274193955197e-02,-1.455115206687e-05
"                  92",-3.911956058939e-01,2.412312197890e+01,-3.169930383131e-06,-2.010199127400e-01,2.414587768335e+01,-1.959888962721e-05,1.901756931539e-01,2.275570445378e-02,-1.642895924408e-05
"                  93",-3.836454355950e-01,2.417197812665e+01,-2.777982391665e-06,-1.939759749299e-01,2.419474862294e+01,-2.879830612632e-05,1.896694606651e-01,2.277049629678e-02,-2.602032373466e-05
"                  94",-3.749252283389e-01,2.422271215439e+01,-2.346566615955e-06,-1.856566293754e-01,2.424549033578e+01,-3.857697412374e-05,1.892685989635e-01,2.277818138919e-02,-3.623040750779e-05
"                  95",-3.667602603432e-01,2.427657088459e+01,-2.005994120684e-06,-1.777864607194e-01,2.429933502274e+01,-5.161029074673e-05,1.889737996239e-01,2.276413815215e-02,-4.960429662604e-05
"                  96",-3.607715569090e-01,2.432903922557e+01,-1.825012077926e-06,-1.719965071926e-01,2.435175719579e+01,-5.762962193723e-05,1.887750497164e-01,2.271797021310e-02,-5.580460985930e-05
"                  97",-3.587969176849e-01,2.435228414764e+01,-1.793011933965e-06,-1.701060067538e-01,2.437494086190e+01,-6.265165172747e-05,1.886909109311e-01,2.265671425256e-02,-6.085863979350e-05
"                  98",-3.608965527897e-01,2.432543263748e+01,-1.840536670736e-06,-1.721396904328e-01,2.434801158618e+01,-6.905294875208e-05,1.887568623569e-01,2.257894870123e-02,-6.721241208134e-05
"                  99",-3.671150889367e-01,2.423514589915e+01,-1.979649592420e-06,-1.780916201334e-01,2.425761171478e+01,-7.339663539345e-05,1.890234688034e-01,2.246581563707e-02,-7.141698580103e-05
